No Satelit    Epoch                 B*               True Anomaly       Ketinggian
41603         2023.45589518405      0.00013619        33.89617611       491.86125996
41603         2023.45625532290      0.00013834        34.40468460       491.90269799
41603         2023.45643539227      0.00014106        34.65392989       491.92286497
41603         2023.45697560082      0.00013304        35.44433547       491.99818847
41603         2023.45769587753      0.00012452        36.48140055       492.09006606
41603         2023.45859622263      0.00011626        37.76159442       492.20972170
41603         2023.45895636014      0.00011537        38.26421856       492.25501914
41603         2023.45949656690      0.00011629        39.02192940       492.32022317
41603         2023.46003677279      0.00011797        39.79586519       492.39227548
41603         2023.46057697836      0.00011785        40.59817107       492.47230548
41603         2023.46129725197      0.00011405        41.62718506       492.57668774
41603         2023.46165738838      0.00011475        42.13463923       492.62674069
41603         2023.46237766096      0.00011118        43.15584729       492.72864930
41603         2023.46255772901      0.00010997        43.42840772       492.75850485
41603         2023.46345806814      0.00011324        44.71399350       492.88431500
41603         2023.46435840699      0.00011032        46.03089139       493.02206859
41603         2023.46453847452      0.00011047        46.28724769       493.04815954
41603         2023.46489860959      0.00011039        46.81127933       493.10151687
41603         2023.46525874433      0.00011183        47.34872220       493.15614971
41603         2023.46615908060      0.00011302        48.66512737       493.28991701
41603         2023.46669928203      0.00011474        49.46687771       493.37406668
41603         2023.46687934932      0.00011337        49.73712437       493.40310459
41603         2023.46777968370      0.00012058        51.03356797       493.53500866
41603         2023.46813981707      0.00012194        51.59296545       493.59445516
41603         2023.46868001690      0.00011998        52.40178223       493.68031783
41603         2023.46994048233      0.00011960        54.27893092       493.88379011
41603         2023.47048068093      0.00012009        55.05781693       493.96953613
41603         2023.47066074723      0.00011602        55.34711666       494.00336707
41603         2023.47174114334      0.00011341        56.93907823       494.18001993
41603         2023.47228134096      0.00011298        57.80132137       494.28012870
41603         2023.47336173405      0.00012702        59.35581188       494.45261995
41603         2023.47408199562      0.00012421        60.43281220       494.57781873
41603         2023.47516238701      0.00012934        62.00586371       494.76250327
41603         2023.47570258159      0.00013435        62.78523326       494.85245359
41603         2023.47678296984      0.00013227        64.41297057       495.04375949
41603         2023.47804342104      0.00013537        66.23583477       495.25731012
41603         2023.47858361351      0.00013292        67.04372838       495.35357938
41603         2023.47966399707      0.00013220        68.67680636       495.54551382
41603         2023.48056431562      0.00013334        70.04686206       495.70882161
41603         2023.48128456931      0.00013473        71.10181551       495.83355848
41603         2023.48236494863      0.00012962        72.79517111       496.03816404
41603         2023.48326526326      0.00013470        74.19909625       496.20847399
41603         2023.48398551479      0.00012705        75.28161639       496.34282549
41603         2023.48452570233      0.00012628        76.07613257       496.43909518
41603         2023.48614626414      0.00011733        78.54190864       496.74567196
41603         2023.48722663652      0.00011776        80.11037218       496.93970179
41603         2023.48812694600      0.00011099        81.46882012       497.11069637
41603         2023.48884719296      0.00010940        82.55224508       497.24663587
41603         2023.48956743926      0.00010903        83.63024716       497.38177361
41603         2023.49082786866      0.00010604        85.51523504       497.61787099
41603         2023.49154811342      0.00010365        86.59577441       497.75402346
41603         2023.49262847904      0.00010369        88.22538187       497.95882147
41603         2023.49478920663      0.00009865        91.45066755       498.36539350
41603         2023.49604962847      0.00009394        93.37359901       498.60861131
41603         2023.49676986929      0.00009201        94.47523787       498.74824203
41603         2023.49785022910      0.00009149        96.07315717       498.94927911
41603         2023.49875052811      0.00008781        97.41618646       499.11881567
41603         2023.49983088603      0.00008531        99.08678167       499.32903750
41603         2023.50037106441      0.00008967        99.91128851       499.43112735
41603         2023.50163148033      0.00009547       101.48423088       499.63212859
41603         2023.50271183510      0.00009137       103.12958312       499.83922859
41603         2023.50325201164      0.00008996       104.24662107       499.97320929
41603         2023.50433236455      0.00009116       105.88846215       500.17892559
41603         2023.50541271652      0.00009505       107.52784740       500.38211708
41603         2023.50595289192      0.00009702       108.30211678       500.47735242
41603         2023.50685318359      0.00009838       109.65841619       500.64632508
41603         2023.50793353318      0.00009152       111.23518592       500.84045680
41603         2023.50865376551      0.00009298       112.29554371       500.96912216
41603         2023.50973411263      0.00009618       113.89150536       501.16215218
41603         2023.51063440145      0.00009554       114.96496754       501.29022728
41603         2023.51153468975      0.00009774       116.56362464       501.47854354
41603         2023.51279509115      0.00010347       118.40938550       501.69507090
